Freshwater network connectivity scores and statistics and protection status of networks and hub lakes in the conterminous US,,,,,,,,,,,,,,,,,
,,,,,,,,,,Network protection,,,,Hub protection,,,
547,205,1.51,Low,NAP,5,0,4,80.00%,7.04,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
23,206,1.5,Low,UMW,237,14,1,0.40%,41.65,58.20%,94.50%,54.90%,94.10%,28.60%,78.60%,21.40%,92.90%
517,207,1.49,Low,UMW,5,1,1,20.00%,3.19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
56,208,1.48,Low,UMW,453,16,59,13.00%,182.22,12.40%,22.50%,12.40%,16.30%,6.30%,6.30%,0.00%,0.00%
705,209,1.48,Low,NAP,9,0,7,77.80%,8.45,0.00%,44.40%,0.00%,0.00%,NA,NA,NA,NA
354,210,1.47,Low,SPL,5,1,4,80.00%,6.08,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
494,211,1.47,Low,NAP,8,2,4,50.00%,14.46,12.50%,12.50%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
821,212,1.46,Low,XER,5,0,5,100.00%,14.66,0.00%,60.00%,0.00%,0.00%,NA,NA,NA,NA
79,213,1.45,Low,NAP,325,21,255,78.50%,80.79,3.10%,11.40%,0.00%,1.50%,4.80%,4.80%,0.00%,0.00%
436,214,1.44,Low,NAP,27,2,3,11.10%,38.74,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
175,215,1.43,Low,UMW,9,0,3,33.30%,20.31,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
265,216,1.43,Low,WMT,20,1,1,5.00%,34.29,15.00%,50.00%,10.00%,55.00%,0.00%,0.00%,0.00%,0.00%
626,217,1.42,Low,NAP,5,0,0,0.00%,11.99,20.00%,20.00%,0.00%,20.00%,NA,NA,NA,NA
237,218,1.41,Low,WMT,28,3,19,67.90%,106.23,7.10%,17.90%,3.60%,10.70%,0.00%,33.30%,0.00%,0.00%
379,219,1.4,Low,UMW,13,1,0,0.00%,14.59,30.80%,76.90%,69.20%,69.20%,0.00%,100.00%,0.00%,0.00%
843,220,1.4,Low,NAP,6,1,4,66.70%,14.9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
83,221,1.39,Low,TPL,23,2,8,34.80%,81.88,13.00%,13.00%,13.00%,13.00%,0.00%,0.00%,0.00%,0.00%
17,222,1.38,Low,CPL,222,10,66,29.70%,166.94,0.00%,1.40%,0.00%,0.50%,0.00%,10.00%,0.00%,0.00%
665,223,1.37,Low,CPL,5,1,3,60.00%,42.12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
61,224,1.37,Low,NAP,9,1,5,55.60%,7.72,11.10%,22.20%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
403,225,1.37,Low,CPL,13,1,7,53.80%,7.66,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
660,226,1.37,Low,WMT,6,0,0,0.00%,14.17,0.00%,16.70%,0.00%,0.00%,NA,NA,NA,NA
91,227,1.37,Low,CPL,9,1,7,77.80%,12.34,33.30%,66.70%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
731,228,1.35,Low,NAP,7,1,4,57.10%,6.18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
97,229,1.33,Low,UMW,14,1,0,0.00%,29.73,0.00%,21.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
115,230,1.33,Low,UMW,47,2,1,2.10%,35.97,36.20%,36.20%,31.90%,31.90%,100.00%,100.00%,0.00%,0.00%
276,231,1.33,Low,NAP,7,1,1,14.30%,7.09,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
275,232,1.32,Low,UMW,11,0,8,72.70%,13.16,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
202,233,1.3,Low,CPL,23,1,18,78.30%,42.08,21.70%,30.40%,4.30%,4.30%,0.00%,100.00%,0.00%,0.00%
39,234,1.29,Low,TPL,7,0,0,0.00%,5.33,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
604,235,1.28,Low,WMT,8,0,2,25.00%,13.35,0.00%,0.00%,0.00%,12.50%,NA,NA,NA,NA
283,236,1.28,Low,NAP,6,1,0,0.00%,5.9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
63,237,1.27,Low,UMW,454,18,86,18.90%,116.11,3.70%,5.30%,0.90%,0.90%,0.00%,0.00%,0.00%,0.00%
185,238,1.27,Low,NAP,14,1,5,35.70%,15.75,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
188,239,1.27,Low,CPL,66,3,18,27.30%,39.39,37.90%,43.90%,9.10%,9.10%,100.00%,100.00%,0.00%,0.00%
257,240,1.27,Low,NAP,113,3,76,67.30%,40.1,5.30%,27.40%,0.00%,3.50%,0.00%,0.00%,0.00%,0.00%
88,241,1.26,Low,NAP,380,15,214,56.30%,97.72,3.40%,9.20%,0.30%,4.70%,13.30%,20.00%,0.00%,0.00%
92,242,1.25,Low,NAP,75,4,33,44.00%,50.59,2.70%,8.00%,2.70%,2.70%,0.00%,25.00%,0.00%,0.00%
435,243,1.25,Low,NAP,6,0,4,66.70%,6.09,0.00%,50.00%,0.00%,0.00%,NA,NA,NA,NA
187,244,1.24,Low,CPL,25,1,2,8.00%,9.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
114,245,1.24,Low,UMW,50,3,20,40.00%,41.64,0.00%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
368,246,1.24,Low,XER,12,0,4,33.30%,35.46,0.00%,41.70%,0.00%,33.30%,NA,NA,NA,NA
489,247,1.22,Low,UMW,6,1,0,0.00%,8.77,0.00%,16.70%,16.70%,16.70%,0.00%,100.00%,0.00%,0.00%
363,248,1.21,Low,WMT,5,0,1,20.00%,21.51,0.00%,20.00%,20.00%,60.00%,NA,NA,NA,NA
26,249,1.2,Low,NAP,418,11,225,53.80%,142.51,4.80%,12.90%,2.20%,5.70%,0.00%,18.20%,0.00%,0.00%
72,250,1.19,Low,NAP,12,1,3,25.00%,11.88,33.30%,33.30%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%
214,251,1.17,Low,NAP,43,4,15,34.90%,55.27,2.30%,2.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
440,252,1.17,Low,XER,9,1,8,88.90%,12.79,11.10%,88.90%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
204,253,1.17,Low,NAP,28,2,11,39.30%,20.29,3.60%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
302,254,1.17,Low,CPL,19,0,3,15.80%,91.01,0.00%,21.10%,0.00%,10.50%,NA,NA,NA,NA
522,255,1.16,Low,CPL,10,0,0,0.00%,12.54,10.00%,10.00%,0.00%,0.00%,NA,NA,NA,NA
595,256,1.15,Low,NAP,13,1,6,46.20%,7.82,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
570,257,1.15,Low,UMW,6,0,1,16.70%,16.18,16.70%,16.70%,50.00%,50.00%,NA,NA,NA,NA
438,258,1.15,Low,CPL,6,0,0,0.00%,13.52,33.30%,33.30%,16.70%,16.70%,NA,NA,NA,NA
7,259,1.15,Low,UMW,153,5,30,19.60%,139.15,4.60%,12.40%,3.30%,3.30%,20.00%,20.00%,0.00%,0.00%
358,260,1.15,Low,NAP,6,0,3,50.00%,10.92,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
559,261,1.15,Low,NAP,7,1,2,28.60%,7.24,0.00%,14.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
37,262,1.14,Low,NAP,261,10,81,31.00%,98.36,0.80%,5.40%,0.80%,3.80%,0.00%,0.00%,0.00%,0.00%
266,263,1.14,Low,CPL,40,0,27,67.50%,107.98,25.00%,25.00%,12.50%,12.50%,NA,NA,NA,NA
519,264,1.14,Low,CPL,7,1,7,100.00%,15.29,0.00%,14.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
122,265,1.14,Low,XER,27,1,12,44.40%,90.13,11.10%,22.20%,7.40%,7.40%,100.00%,100.00%,0.00%,0.00%
13,266,1.13,Low,UMW,240,10,26,10.80%,119.26,0.40%,30.80%,0.00%,1.30%,0.00%,20.00%,0.00%,0.00%
460,267,1.13,Low,WMT,6,0,2,33.30%,9.69,0.00%,16.70%,0.00%,0.00%,NA,NA,NA,NA
307,268,1.12,Low,UMW,12,1,0,0.00%,44.34,8.30%,8.30%,25.00%,25.00%,0.00%,0.00%,100.00%,100.00%
18,269,1.11,Low,CPL,410,16,99,24.10%,130.19,0.50%,1.20%,0.50%,1.00%,0.00%,0.00%,0.00%,0.00%
274,270,1.11,Low,NAP,30,3,7,23.30%,16.41,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80,271,1.11,Low,UMW,20,0,5,25.00%,43.14,15.00%,35.00%,35.00%,35.00%,NA,NA,NA,NA
224,272,1.1,Low,UMW,23,0,0,0.00%,32.53,0.00%,4.30%,4.30%,4.30%,NA,NA,NA,NA
62,273,1.09,Low,NAP,26,0,14,53.80%,15.53,0.00%,7.70%,0.00%,0.00%,NA,NA,NA,NA
104,274,1.09,Low,TPL,17,1,14,82.40%,36.14,5.90%,11.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
125,275,1.09,Low,NAP,10,1,3,30.00%,10.53,0.00%,30.00%,30.00%,30.00%,0.00%,0.00%,0.00%,0.00%
49,276,1.09,Low,NAP,62,3,38,61.30%,29.95,16.10%,22.60%,3.20%,12.90%,0.00%,0.00%,0.00%,0.00%
653,277,1.08,Low,UMW,6,1,1,16.70%,6.69,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
455,278,1.08,Low,NAP,12,2,1,8.30%,19.58,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
752,279,1.08,Low,UMW,7,1,0,0.00%,15.34,0.00%,42.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
27,280,1.08,Low,CPL,31,1,21,67.70%,48.2,32.30%,35.50%,3.20%,3.20%,100.00%,100.00%,0.00%,0.00%
565,281,1.08,Low,UMW,6,0,0,0.00%,14.96,33.30%,33.30%,83.30%,83.30%,NA,NA,NA,NA
221,282,1.07,Low,CPL,15,0,1,6.70%,31.04,13.30%,20.00%,6.70%,6.70%,NA,NA,NA,NA
127,283,1.06,Low,UMW,30,0,6,20.00%,36.88,3.30%,6.70%,0.00%,0.00%,NA,NA,NA,NA
180,284,1.06,Low,UMW,11,0,0,0.00%,16.19,9.10%,90.90%,0.00%,36.40%,NA,NA,NA,NA
452,285,1.05,Low,UMW,8,1,0,0.00%,4.75,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
25,286,1.05,Low,CPL,98,1,64,65.30%,129.12,1.00%,3.10%,1.00%,2.00%,0.00%,0.00%,0.00%,0.00%
344,287,1.05,Low,UMW,8,1,3,37.50%,11.54,0.00%,25.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%
255,288,1.04,Low,CPL,5,0,5,100.00%,10.05,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
184,289,1.04,Low,CPL,57,1,34,59.60%,86.65,7.00%,26.30%,0.00%,3.50%,0.00%,0.00%,0.00%,0.00%
151,290,1.04,Low,CPL,22,3,24,109.10%,50.63,4.50%,4.50%,0.00%,0.00%,33.30%,33.30%,0.00%,0.00%
85,291,1.04,Low,NAP,7,0,4,57.10%,10.36,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
46,292,1.03,Low,NAP,258,14,175,67.80%,74.07,6.20%,41.90%,1.90%,1.90%,0.00%,14.30%,0.00%,0.00%
8,293,1.02,Low,NAP,32,1,15,46.90%,31.55,0.00%,18.80%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
244,294,1.02,Low,UMW,50,4,14,28.00%,70.12,6.00%,30.00%,28.00%,28.00%,0.00%,0.00%,0.00%,0.00%
474,295,1.01,Low,CPL,12,1,7,58.30%,8.73,0.00%,8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
239,296,1.01,Low,CPL,13,1,6,46.20%,13.26,0.00%,30.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
434,297,0.97,Low,NAP,6,0,4,66.70%,6.99,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
191,298,0.97,Low,WMT,8,0,2,25.00%,23.91,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
113,299,0.96,Low,CPL,10,0,0,0.00%,30.28,30.00%,30.00%,20.00%,20.00%,NA,NA,NA,NA
301,300,0.96,Low,CPL,7,0,10,142.90%,15.53,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
387,301,0.96,Low,CPL,6,0,4,66.70%,10.01,66.70%,66.70%,16.70%,16.70%,NA,NA,NA,NA
750,302,0.94,Low,NAP,6,0,5,83.30%,22.62,33.30%,33.30%,16.70%,16.70%,NA,NA,NA,NA
576,303,0.93,Low,CPL,6,1,6,100.00%,7.99,16.70%,16.70%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%
147,304,0.93,Low,CPL,24,1,0,0.00%,47.74,95.80%,100.00%,12.50%,12.50%,100.00%,100.00%,100.00%,100.00%
225,305,0.92,Low,NAP,28,4,11,39.30%,23.33,21.40%,21.40%,10.70%,10.70%,25.00%,25.00%,0.00%,0.00%
87,306,0.92,Low,NAP,181,5,18,9.90%,74.97,1.70%,4.40%,1.70%,5.50%,20.00%,20.00%,20.00%,20.00%
153,307,0.92,Low,UMW,174,8,36,20.70%,85.76,1.10%,2.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
54,308,0.9,Low,CPL,18,1,1,5.60%,15.3,44.40%,55.60%,22.20%,61.10%,0.00%,100.00%,0.00%,100.00%
361,309,0.9,Low,NAP,7,1,2,28.60%,15.46,0.00%,42.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
207,310,0.88,Low,NAP,83,6,8,9.60%,52,20.50%,21.70%,27.70%,37.30%,16.70%,16.70%,16.70%,16.70%
137,311,0.87,Low,XER,5,1,2,40.00%,8.83,20.00%,20.00%,20.00%,40.00%,0.00%,0.00%,0.00%,0.00%
230,312,0.86,Low,NAP,23,2,10,43.50%,14.16,4.30%,4.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
496,313,0.86,Low,NAP,10,0,5,50.00%,14.77,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
490,314,0.84,Low,XER,7,0,3,42.90%,23.39,0.00%,42.90%,0.00%,42.90%,NA,NA,NA,NA
242,315,0.84,Low,UMW,6,0,4,66.70%,19.57,0.00%,0.00%,0.00%,16.70%,NA,NA,NA,NA
154,316,0.83,Low,NAP,15,1,5,33.30%,29.65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
405,317,0.83,Low,CPL,23,1,6,26.10%,29.09,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
96,318,0.83,Low,NAP,13,1,2,15.40%,22.38,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
545,319,0.83,Low,XER,7,1,7,100.00%,33.95,0.00%,71.40%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
495,320,0.82,Low,UMW,9,0,1,11.10%,22.39,66.70%,66.70%,33.30%,33.30%,NA,NA,NA,NA
103,321,0.82,Low,CPL,27,1,7,25.90%,31.87,3.70%,3.70%,0.00%,7.40%,0.00%,0.00%,0.00%,0.00%
216,322,0.82,Low,UMW,7,1,1,14.30%,22.78,0.00%,14.30%,0.00%,14.30%,0.00%,0.00%,0.00%,0.00%
339,323,0.81,Low,WMT,22,1,1,4.50%,23.71,22.70%,40.90%,13.60%,31.80%,0.00%,0.00%,0.00%,0.00%
190,324,0.79,Low,NAP,9,2,6,66.70%,10.3,11.10%,22.20%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
209,325,0.78,Low,NAP,17,1,11,64.70%,14.44,0.00%,5.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
142,326,0.78,Low,CPL,26,1,15,57.70%,19.81,46.20%,46.20%,15.40%,15.40%,0.00%,0.00%,0.00%,0.00%
51,327,0.78,Low,CPL,13,1,5,38.50%,9.84,46.20%,61.50%,23.10%,23.10%,0.00%,100.00%,0.00%,0.00%
269,328,0.77,Low,NAP,8,1,6,75.00%,8.1,12.50%,12.50%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%
321,329,0.76,Low,UMW,14,1,3,21.40%,21.38,0.00%,7.10%,7.10%,7.10%,0.00%,0.00%,0.00%,0.00%
102,330,0.76,Low,NAP,72,4,14,19.40%,87.57,1.40%,2.80%,1.40%,2.80%,0.00%,0.00%,0.00%,0.00%
643,331,0.75,Low,XER,8,1,2,25.00%,44.44,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
521,332,0.75,Low,XER,6,0,2,33.30%,19.49,0.00%,16.70%,0.00%,33.30%,NA,NA,NA,NA
148,333,0.74,Low,CPL,21,1,12,57.10%,51.42,28.60%,28.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
213,334,0.71,Low,NAP,9,0,7,77.80%,5.18,0.00%,11.10%,0.00%,33.30%,NA,NA,NA,NA
41,335,0.71,Low,UMW,100,6,20,20.00%,65.89,14.00%,25.00%,20.00%,20.00%,0.00%,16.70%,0.00%,0.00%
201,336,0.68,Low,NAP,39,4,20,51.30%,36.94,2.60%,5.10%,0.00%,2.60%,0.00%,0.00%,0.00%,0.00%
772,337,0.67,Low,XER,7,0,4,57.10%,58.14,0.00%,57.10%,0.00%,85.70%,NA,NA,NA,NA
317,338,0.65,Low,CPL,26,1,0,0.00%,11.4,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%
81,339,0.64,Low,UMW,15,2,2,13.30%,9.03,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
390,340,0.64,Low,NAP,11,0,2,18.20%,45.5,9.10%,9.10%,0.00%,0.00%,NA,NA,NA,NA
73,341,0.64,Low,NAP,74,5,38,51.40%,43.47,8.10%,24.30%,0.00%,1.40%,0.00%,20.00%,0.00%,0.00%
130,342,0.63,Low,UMW,45,3,7,15.60%,42.37,26.70%,28.90%,40.00%,40.00%,33.30%,33.30%,0.00%,0.00%
250,343,0.63,Low,NAP,19,1,10,52.60%,16.77,10.50%,15.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
584,344,0.63,Low,XER,5,1,3,60.00%,13.71,0.00%,40.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
413,345,0.62,Low,WMT,9,0,6,66.70%,20.09,0.00%,66.70%,0.00%,77.80%,NA,NA,NA,NA
431,346,0.62,Low,NAP,17,1,1,5.90%,18.44,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
325,347,0.62,Low,CPL,13,0,2,15.40%,44.69,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
484,348,0.61,Low,TPL,9,2,1,11.10%,61.15,11.10%,33.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
177,349,0.61,Low,UMW,55,3,9,16.40%,96.63,7.30%,29.10%,20.00%,20.00%,0.00%,33.30%,0.00%,0.00%
168,350,0.6,Low,SAP,79,4,62,78.50%,72.12,5.10%,25.30%,0.00%,0.00%,25.00%,50.00%,0.00%,0.00%
536,351,0.58,Low,UMW,10,0,1,10.00%,13.38,50.00%,50.00%,50.00%,50.00%,NA,NA,NA,NA
120,352,0.56,Low,NAP,134,7,72,53.70%,73.69,3.70%,15.70%,0.00%,3.70%,14.30%,14.30%,0.00%,0.00%
347,353,0.56,Low,NAP,12,2,1,8.30%,34.38,0.00%,25.00%,8.30%,8.30%,0.00%,0.00%,0.00%,0.00%
764,354,0.55,Low,XER,6,1,7,116.70%,12.69,16.70%,33.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
476,355,0.55,Low,WMT,18,0,3,16.70%,39.64,0.00%,11.10%,0.00%,11.10%,NA,NA,NA,NA
194,356,0.53,Low,UMW,62,4,24,38.70%,57.82,1.60%,16.10%,16.10%,16.10%,0.00%,0.00%,0.00%,0.00%
359,357,0.53,Low,NAP,18,1,2,11.10%,24.92,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
466,358,0.52,Low,XER,14,1,9,64.30%,21.79,14.30%,64.30%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
305,359,0.49,Low,WMT,69,2,2,2.90%,44.83,60.90%,60.90%,60.90%,60.90%,50.00%,50.00%,50.00%,50.00%
117,360,0.48,Low,UMW,49,4,10,20.40%,97.05,8.20%,18.40%,6.10%,6.10%,0.00%,0.00%,0.00%,0.00%
328,361,0.48,Low,WMT,20,1,0,0.00%,16.99,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
243,362,0.46,Low,UMW,15,1,5,33.30%,36.36,0.00%,20.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%
222,363,0.46,Low,XER,9,2,4,44.40%,30.57,0.00%,55.60%,0.00%,55.60%,0.00%,100.00%,0.00%,100.00%
123,364,0.44,Low,UMW,82,3,18,22.00%,63.82,37.80%,46.30%,43.90%,43.90%,33.30%,66.70%,0.00%,0.00%
233,365,0.42,Low,NAP,47,2,9,19.10%,36.8,2.10%,6.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
419,366,0.42,Low,SAP,11,1,14,127.30%,27.43,9.10%,54.50%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
215,367,0.4,Low,SAP,12,2,3,25.00%,31.35,16.70%,41.70%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%
146,368,0.39,Low,TPL,33,1,14,42.40%,23.79,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
381,369,0.39,Low,UMW,28,3,7,25.00%,32.49,14.30%,14.30%,0.00%,0.00%,33.30%,33.30%,0.00%,0.00%
235,370,0.39,Low,UMW,79,5,10,12.70%,54.6,51.90%,51.90%,64.60%,64.60%,0.00%,0.00%,40.00%,40.00%
205,371,0.39,Low,NAP,14,1,8,57.10%,30.48,7.10%,21.40%,7.10%,7.10%,0.00%,0.00%,0.00%,0.00%
478,372,0.36,Low,WMT,6,0,2,33.30%,36.22,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
169,373,0.35,Low,UMW,34,2,1,2.90%,43.1,14.70%,58.80%,41.20%,41.20%,50.00%,100.00%,0.00%,0.00%
304,374,0.35,Low,UMW,16,1,4,25.00%,21.71,6.30%,56.30%,0.00%,43.80%,100.00%,100.00%,0.00%,0.00%
315,375,0.34,Low,NAP,44,0,14,31.80%,42.08,11.40%,22.70%,2.30%,2.30%,NA,NA,NA,NA
74,376,0.31,Low,UMW,58,1,19,32.80%,62.44,1.70%,25.90%,5.20%,5.20%,0.00%,0.00%,0.00%,0.00%
329,377,0.29,Low,XER,19,2,7,36.80%,41.33,15.80%,31.60%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
70,378,0.29,Low,NAP,29,2,17,58.60%,20.24,10.30%,27.60%,0.00%,3.40%,0.00%,0.00%,0.00%,0.00%
199,379,0.28,Low,NAP,89,6,35,39.30%,67.31,2.20%,20.20%,0.00%,0.00%,16.70%,50.00%,0.00%,0.00%
212,380,0.28,Low,UMW,33,2,5,15.20%,16.51,12.10%,15.20%,12.10%,12.10%,0.00%,0.00%,0.00%,0.00%
135,381,0.25,Low,NAP,24,1,6,25.00%,33.32,0.00%,16.70%,8.30%,8.30%,0.00%,0.00%,0.00%,0.00%
111,382,0.23,Low,WMT,18,1,12,66.70%,54.53,5.60%,5.60%,16.70%,16.70%,0.00%,0.00%,0.00%,0.00%
353,383,0.21,Low,NAP,26,1,5,19.20%,22.4,0.00%,7.70%,0.00%,3.80%,0.00%,0.00%,0.00%,0.00%
86,384,0.18,Low,TPL,36,2,19,52.80%,54.77,5.60%,5.60%,0.00%,5.60%,0.00%,0.00%,0.00%,0.00%
234,385,0.12,Low,CPL,46,1,13,28.30%,53.6,2.20%,2.20%,0.00%,4.30%,0.00%,0.00%,0.00%,0.00%
